CountryID,Country,Year,AMA exchange rate,IMF based exchange rate,Population,Currency,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Changes in inventories,Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disp,Household consumption expenditure (including Non-profit institu,Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP),country_name,year,emission,rank,country,score,gdp_per_capita,social_support,healthy_life_expectancy,freedom_life_choices,generosity,percepted_corruption,year_happy,country_le,code_le,year_le,life_expectancy,country_dens,code_dens,year_dens,pop_density
4,Afghanistan,1970,0.044998427,0.044998427,10752971, Afghani ,164,869917407,"",46793902,165618722,1663221269,112126986,94611818,94611818,1551094283,195277226,370146827,376690811,127747843,1731454254,83917200,226387091,1766527525,1731435587,Afghanistan,1970,0.149651313706331,,,,,,,,,,,Afghanistan,AFG,1970,37.4178,Afghanistan,AFG,1970,16.486475
4,Afghanistan,1971,0.044998427,0.044998427,11015857, Afghani ,168,910828104,"",48994113,193580300,1796541240,121114833,99012350,99012350,1675426407,276296480,387549502,394401164,133754097,1812857077,87860382,237019196,1850121913,1812837521,Afghanistan,1971,0.165208248913986,,,,,,,,,,,Afghanistan,AFG,1971,37.9233,Afghanistan,AFG,1971,16.889523
4,Afghanistan,1972,0.044998427,0.044998427,11286753, Afghani ,149,827945340,"",44535223,227654380,1607159399,108347543,103456794,103456794,1498811856,290370350,352284669,358512865,121582672,1647917912,79864525,215477287,1683947905,1647900178,Afghanistan,1972,0.12999551700408998,,,,,,,,,,,Afghanistan,AFG,1972,38.4439,Afghanistan,AFG,1972,17.304867
4,Afghanistan,1973,0.044998427,0.044998427,11575305, Afghani ,150,855486925,"",46018542,226913554,1617037233,109013455,121728433,121728433,1508023800,262962880,364010279,370445793,125630236,1702734673,82528885,222624293,1739998153,1702716294,Afghanistan,1973,0.13536658754345898,,,,,,,,,,,Afghanistan,AFG,1973,39.0029,Afghanistan,AFG,1973,17.74728
4,Afghanistan,1974,0.044998427,0.044998427,11869879, Afghani ,177,1035913365,"",55721659,284938449,1907408182,128588961,175061875,175061875,1778819221,305679151,440760406,448552790,152119162,2061751510,99918604,269525910,2106420227,2061729287,Afghanistan,1974,0.154503116098014,,,,,,,,,,,Afghanistan,AFG,1974,39.5498,Afghanistan,AFG,1974,18.19892
4,Afghanistan,1975,0.044998427,0.044998427,12157386, Afghani ,195,1165441381,"",62686658,300493815,2131358499,143686711,221728484,221728484,1987671788,333827202,495891889,504659018,171142804,2319778374,112416374,303432162,2369877014,2319753506,Afghanistan,1975,0.167612302906638,,,,,,,,,,,Afghanistan,AFG,1975,40.1003,Afghanistan,AFG,1975,18.639729
4,Afghanistan,1976,0.044998427,0.044998427,12425267, Afghani ,207,1262891632,"",67941997,329382802,2232098998,150478171,322716302,322716302,2081620805,370617399,537391228,546891983,185472327,2513608060,121865126,328544951,2568148611,2513580659,Afghanistan,1976,0.153557886047794,,,,,,,,,,,Afghanistan,AFG,1976,40.6454,Afghanistan,AFG,1976,19.050451
4,Afghanistan,1977,0.044998427,0.044998427,12687301, Afghani ,231,1439687056,"",77430595,342962988,2584198550,174215156,362716078,362716078,2409983394,424938409,612470141,623298276,211382277,2864969897,138798518,374373152,2927408257,2864939207,Afghanistan,1977,0.18152233182252303,,,,,,,,,,,Afghanistan,AFG,1977,41.2278,Afghanistan,AFG,1977,19.4522
4,Afghanistan,1978,0.044998427,0.044998427,12938862, Afghani ,254,1618731870,"",87058287,354814847,2883951161,194423174,437531071,437531071,2689527987,453333379,688846878,701025415,237719665,3222997856,156155903,422306672,3292593311,3222963833,Afghanistan,1978,0.16189421955253,,,,,,,,,,,Afghanistan,AFG,1978,40.2712,Afghanistan,AFG,1978,19.837885
4,Afghanistan,1979,0.043730753,0.043730753,12986369, Afghani ,285,1824507919,"",98215848,424287344,3241236374,218509730,487588175,487588175,3022726644,522344151,776522761,790251109,268036272,3630809406,176271742,473526514,3707542111,3630767856,Afghanistan,1979,0.167066361644792,,,,,,,,,,,Afghanistan,AFG,1979,39.0861,Afghanistan,AFG,1979,19.910734
4,Afghanistan,1980,0.044129167,0.044129167,12486631, Afghani ,298,1833562539,"",98532815,421868016,3268912030,220375496,482304575,482304575,3048536534,526287844,779480093,793260866,269014824,3646833941,176313390,476149507,3722131465,3646796868,Afghanistan,1980,0.131783026990604,,,,,,,,,,,Afghanistan,AFG,1980,39.6181,Afghanistan,AFG,1980,19.144535
